FID,mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,stop_id,total_ons,total_offs,number_service_days
3574,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_08,LATE_EVENING,Heath Street,place-hsmnl,0,1812,82
3575,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_08,LATE_EVENING,Hawes Street,place-hwsst,142,770,82
3576,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Museum of Fine Arts,place-mfa,2514,16690,82
3577,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Mission Park,place-mispk,397,13772,82
3578,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Newton Highlands,place-newtn,1039,17468,82
3579,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Newton Centre,place-newto,1689,19185,82
3580,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,North Station,place-north,102516,23453,82
3581,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Northeastern University,place-nuniv,7982,29696,82
3582,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Park Street,place-pktrm,461955,188052,82
3583,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Pleasant Street,place-plsgr,2777,9317,82
3584,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Prudential,place-prmnl,9592,39800,82
3585,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Riverside,place-river,0,9912,82
3586,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Reservoir,place-rsmnl,4523,37729,82
3587,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Riverway,place-rvrwy,406,11840,82
3588,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Saint Mary Street,place-smary,9148,15973,82
3589,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,South Street,place-sougr,1,4988,82
3590,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Science Park,place-spmnl,49300,35538,82
3591,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Sutherland Road,place-sthld,376,12947,82
3592,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Saint Paul Street,place-stplb,2930,8774,82
3593,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Saint Paul Street,place-stpul,1096,11053,82
3594,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Summit Ave.,place-sumav,2181,15187,82
3595,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Symphony,place-symcl,6192,38590,82
3596,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Tappan Street,place-tapst,799,12286,82
3597,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Waban,place-waban,445,9141,82
3598,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Washington Street,place-wascm,2339,21446,82
3599,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Woodland,place-woodl,8,12178,82
3600,0,Fall 2017,Green,Green Line,0,day_type_01,weekday,time_period_06,PM_PEAK,Warren Street,place-wrnst,1856,20294,82
3601,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Copley,place-coecl,2366,5460,82
3602,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Coolidge Corner,place-cool,1308,222,82
3603,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Dean Road,place-denrd,318,7,82
3604,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Eliot,place-eliot,1446,2,82
3605,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Englewood Ave.,place-engav,919,5,82
3606,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Fairbanks Street,place-fbkst,589,5,82
3607,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Fenwood Road,place-fenwd,156,28,82
3608,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Fenway,place-fenwy,388,755,82
3609,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Dean Road,place-denrd,7564,202,82
3610,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Government Center,place-gover,1787,9510,82
3611,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Eliot,place-eliot,10370,280,82
3612,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Griggs Street,place-grigg,1467,59,82
3613,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Englewood Ave.,place-engav,8625,5370,82
3614,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Haymarket,place-haecl,1517,2333,82
3615,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Fairbanks Street,place-fbkst,9091,306,82
3616,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Harvard Ave.,place-harvd,2059,449,82
3617,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Fenwood Road,place-fenwd,5777,1049,82
3618,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Heath Street,place-hsmnl,569,0,82
3619,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Fenway,place-fenwy,25928,13675,82
3620,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Hawes Street,place-hwsst,72,36,82
3621,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Government Center,place-gover,32259,195275,82
3622,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Hynes Convention Center,place-hymnl,1578,3697,82
3623,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Griggs Street,place-grigg,24734,1485,82
3624,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Kenmore,place-kencl,4429,2216,82
3625,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Haymarket,place-haecl,17707,89246,82
3626,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Kent Street,place-kntst,207,22,82
3627,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Harvard Ave.,place-harvd,51543,11121,82
3628,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Boston College,place-lake,295,0,82
3629,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Heath Street,place-hsmnl,13100,0,82
3630,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Lechmere,place-lech,0,2731,82
3631,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Hawes Street,place-hwsst,5063,1297,82
3632,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Lechmere,place-lech,0,59351,82
3633,0,Fall 2017,Green,Green Line,0,day_type_03,sunday,time_period_11,OFF_PEAK,Kent Street,place-kntst,553,2263,17
3634,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Blandford Street,place-bland,6175,5627,82
3635,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_02,EARLY_AM,Beaconsfield,place-bcnfd,4505,370,82
3636,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_02,EARLY_AM,South Street,place-sougr,1046,185,82
3637,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Longwood Medical Area,place-lngmd,266,39,82
3638,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Longwood,place-longw,200,2014,82
3639,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Museum of Fine Arts,place-mfa,128,4,82
3640,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Mission Park,place-mispk,360,2,82
3641,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Newton Highlands,place-newtn,1171,10,82
3642,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Newton Centre,place-newto,1729,6,82
3643,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,North Station,place-north,235,3987,82
3644,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Northeastern University,place-nuniv,247,57,82
3645,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Park Street,place-pktrm,5067,16244,82
3646,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Pleasant Street,place-plsgr,86,92,82
3647,0,Fall 2017,Green,Green Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Prudential,place-prmnl,435,126,82
